datetime,payload_callsign,lat,lon,alt,ascent_rate,batt,ext_humidity,ext_pressure,ext_temperature,frame,sats,speed,temp,upload_time,uploader_alt,uploader_callsign,software_name,software_version,frequency,modulation,baud_rate,snr,rssi,uploader_position,uploader_antenna,uploader_radio,time_received,raw
2025-06-21T18:11:10.000000Z,APEX-2-R,42.31576156616211,-71.12873840332031,17213,5.11,2.843137254901961,0,0.0,0.0,982,10,46,-6,2025-06-21T18:11:16.224297,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.630785,Horus Binary v2,,2.01,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.630 MHz),2025-06-21T18:11:14.748354Z,5C03D603120B0A57432942EA418EC23D432E0AFA91FF01000000000000004440
2025-06-21T18:11:14.000000Z,APEX-2-R,42.315364837646484,-71.12837219238281,17236,5.6,2.843137254901961,0,0.0,0.0,983,10,58,-6,2025-06-21T18:11:20.344293,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.630787,Horus Binary v2,,5.76,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.630 MHz),2025-06-21T18:11:19.277007Z,5C03D703120B0EEF422942BA418EC254433A0AFA91300200000000000000EA62
2025-06-21T18:11:44.000000Z,APEX-2-R,42.311729431152344,-71.12613677978516,17412,5.11,2.843137254901961,0,0.0,0.0,989,10,48,-6,2025-06-21T18:11:50.542941,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.630795,Horus Binary v2,,7.54,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.630 MHz),2025-06-21T18:11:49.740114Z,5C03DD03120B2C363F294295408EC20444300AFA91FF01000000000000009E67
2025-06-21T18:11:48.000000Z,APEX-2-R,42.31128692626953,-71.12592315673828,17433,5.19,2.843137254901961,0,0.0,0.0,990,10,48,-6,2025-06-21T18:11:54.686852,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.630788,Horus Binary v2,,7.54,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.630 MHz),2025-06-21T18:11:54.255982Z,5C03DE03120B30C23E294279408EC21944300AFA910702000000000000000697
2025-06-21T18:12:34.000000Z,APEX-2-R,42.30694580078125,-71.12429809570312,17727,7.47,2.823529411764706,0,0.0,0.0,998,10,25,-7,2025-06-21T18:12:40.871526,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.630797,Horus Binary v2,,5.84,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.630 MHz),2025-06-21T18:12:38.804733Z,5C03E603120C22503A2942A43F8EC23F45190AF990EB0200000000000000E51E
2025-06-21T18:13:09.000000Z,APEX-2-R,42.30515670776367,-71.12416076660156,17990,6.41,2.823529411764706,0,0.0,0.0,1005,10,16,-7,2025-06-21T18:13:15.044513,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.630782,Horus Binary v2,,8.31,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.630 MHz),2025-06-21T18:13:14.304697Z,5C03ED03120D097B382942923F8EC24646100AF990810200000000000000626F
2025-06-21T18:15:35.000000Z,APEX-2-R,42.30067825317383,-71.12017059326172,18829,6.03,2.823529411764706,0,0.0,0.0,1033,9,23,-9,2025-06-21T18:15:41.676732,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.629694,Horus Binary v2,,-1.36,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.630 MHz),2025-06-21T18:15:39.970540Z,5C030904120F23E5332942873D8EC28D491709F7905B02000000000000004BEE
2025-06-21T18:14:49.000000Z,APEX-2-R,42.302860260009766,-71.12149047851562,18595,5.42,2.823529411764706,0,0.0,0.0,1025,10,25,-9,2025-06-21T18:14:57.292594,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.630785,Horus Binary v2,,1.84,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.630 MHz),2025-06-21T18:14:55.424800Z,5C030104120E3121362942343E8EC2A348190AF7901E02000000000000004AA3
2025-06-21T18:15:25.000000Z,APEX-2-R,42.30118179321289,-71.12014770507812,18775,5.66,2.823529411764706,0,0.0,0.0,1032,10,26,-9,2025-06-21T18:15:31.474934,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.630794,Horus Binary v2,,0.76,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.630 MHz),2025-06-21T18:15:30.412548Z,5C030804120F1969342942843D8EC257491A0AF7903602000000000000008B12
2025-06-21T18:36:59.000000Z,APEX-2-R,42.2957649230957,-71.18840026855469,26141,5.1,2.7450980392156863,0,0.0,0.0,1283,11,13,-13,2025-06-21T18:37:04.338474,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.630835,Horus Binary v2,,8.32,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.630 MHz),2025-06-21T18:37:03.884939Z,5C03030512243BDD2E294276608EC21D660D0BF38CFE0100000000000000F9D6
