"Time","Average alt"
2025-06-21 18:11:00,17181
2025-06-21 18:11:10,17224
2025-06-21 18:11:40,17401
2025-06-21 18:12:20,17607
2025-06-21 18:12:40,17809
2025-06-21 18:12:50,17889
2025-06-21 18:13:00,17933
2025-06-21 18:13:10,18024
2025-06-21 18:13:20,18059
2025-06-21 18:13:50,18247
2025-06-21 18:14:10,18368
2025-06-21 18:14:20,18423
2025-06-21 18:15:00,18649
2025-06-21 18:15:40,18855
2025-06-21 18:15:50,18930
2025-06-21 18:16:20,19099
2025-06-21 18:16:30,19158
2025-06-21 18:16:50,19271
2025-06-21 18:17:00,19299
2025-06-21 18:17:20,19437
2025-06-21 18:17:50,19606
2025-06-21 18:18:00,19646
2025-06-21 18:18:30,19812
2025-06-21 18:18:40,19866
2025-06-21 18:19:00,19963
2025-06-21 18:19:30,20128
2025-06-21 18:20:00,20291
2025-06-21 18:20:20,20401
2025-06-21 18:20:30,20468
2025-06-21 18:21:00,20633
2025-06-21 18:21:30,20784
2025-06-21 18:22:00,20958
2025-06-21 18:22:30,21138
2025-06-21 18:23:00,21305
2025-06-21 18:24:00,21655
2025-06-21 18:24:10,21698
2025-06-21 18:24:20,21758
2025-06-21 18:24:30,21818
2025-06-21 18:24:40,21857
2025-06-21 18:25:10,22032
2025-06-21 18:25:40,22205
2025-06-21 18:26:10,22382
2025-06-21 18:26:40,22580
2025-06-21 18:27:10,22779
2025-06-21 18:27:20,22806
2025-06-21 18:27:30,22895
2025-06-21 18:27:40,22956
2025-06-21 18:27:50,22983
2025-06-21 18:28:00,23042
2025-06-21 18:28:10,23126
2025-06-21 18:28:20,23169
2025-06-21 18:28:30,23221
2025-06-21 18:28:40,23272
2025-06-21 18:28:50,23315
2025-06-21 18:29:00,23369
2025-06-21 18:29:10,23450
2025-06-21 18:29:20,23478
2025-06-21 18:29:30,23532
2025-06-21 18:29:40,23596
2025-06-21 18:29:50,23654
2025-06-21 18:30:00,23720
2025-06-21 18:31:20,24127
2025-06-21 18:31:50,24301
2025-06-21 18:32:50,24699
2025-06-21 18:33:20,24882
2025-06-21 18:33:30,24936
2025-06-21 18:33:40,24979
2025-06-21 18:33:50,25034
2025-06-21 18:34:00,25090
2025-06-21 18:34:10,25146
2025-06-21 18:34:20,25202
2025-06-21 18:34:30,25258
2025-06-21 18:34:50,25358
2025-06-21 18:35:00,25429
2025-06-21 18:35:30,25608
2025-06-21 18:36:00,25776
2025-06-21 18:36:30,25959
2025-06-21 18:36:50,26113
2025-06-21 18:37:00,26157
2025-06-21 18:37:30,26327
2025-06-21 18:38:30,26721
2025-06-21 18:39:00,26894
2025-06-21 18:39:30,27074
2025-06-21 18:40:30,27453
2025-06-21 18:41:40,27853
2025-06-21 18:42:10,28033
2025-06-21 18:43:10,28391
2025-06-21 18:43:40,28557
2025-06-21 18:44:40,28921
2025-06-21 18:44:50,28951
2025-06-21 18:45:10,29106
2025-06-21 18:45:30,29227
2025-06-21 18:45:40,29293
2025-06-21 18:45:50,29355
2025-06-21 18:46:10,29462
2025-06-21 18:46:20,29510
2025-06-21 18:47:20,29904
2025-06-21 18:47:30,29669
2025-06-21 18:47:50,28805
2025-06-21 18:48:20,27743
2025-06-21 18:48:50,26765
